City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,chonchi,-42.6128,-73.8092,54.61,66,77,2.46,CL,1697142963
210,koungou,-12.7336,45.2042,78.51,83,0,3.44,YT,1697142964
211,rabo de peixe,37.8,-25.5833,67.98,99,20,12.66,PT,1697142964
212,mateus leme,-19.9864,-44.4278,83.57,46,67,2.48,BR,1697142964
213,cholpon-ata,42.6494,77.0823,50.05,51,92,1.1,KG,1697142964
214,papao,-17.75,-149.55,83.88,76,28,14.72,PF,1697142965
215,tamasi,46.6333,18.2833,63.39,69,86,4.54,HU,1697142965
216,saint-francois,46.4154,3.9054,62.65,88,0,2.3,FR,1697142965
217,kudymkar,59.0173,54.656,38.89,93,100,14.05,RU,1697142965
218,kodiak,57.79,-152.4072,38.71,65,100,14.97,US,1697142965
219,sechura,-5.5569,-80.8222,79.18,58,84,15.64,PE,1697142966
220,taupo,-38.6833,176.0833,50.54,73,71,1.77,NZ,1697142966
221,murtajapur,20.7333,77.3833,79.03,59,59,3.33,IN,1697142966
222,izluchinsk,60.9794,76.9242,37.99,94,82,7.72,RU,1697142966
223,san julian,21.0167,-102.1667,77.49,31,5,10.54,MX,1697142967
224,srivardhan,18.0333,73.0167,78.93,85,98,5.3,IN,1697142967
225,atafu village,-8.5421,-172.5159,83.37,78,6,13.56,TK,1697142967
226,villanueva,15.3167,-88.0,99.59,39,20,6.91,HN,1697142898
227,luanda,-8.8368,13.2343,77.0,78,0,10.36,AO,1697142800
228,tabou,4.423,-7.3528,77.4,89,100,4.9,CI,1697142968
229,novyy urgal,51.0736,132.5642,43.99,87,17,3.74,RU,1697142968
230,fale old settlement,-9.3852,-171.2468,82.92,79,29,17.81,TK,1697142968
231,kavaratti,10.5669,72.642,81.84,73,99,0.89,IN,1697142968
232,sarina,-21.4333,149.2167,65.61,1,1,3.36,AU,1697142969
233,east london,-33.0153,27.9116,61.07,80,6,7.74,ZA,1697142702
234,la'ie,21.6477,-157.9253,85.96,66,1,5.01,US,1697142969
235,soe,-9.8607,124.284,63.63,84,15,4.14,ID,1697142969
236,port elizabeth,-33.918,25.5701,62.89,81,0,21.85,ZA,1697142969
237,san-pedro,4.7485,-6.6363,76.59,92,100,5.06,CI,1697142970
238,youhao,47.8667,128.8333,43.41,83,0,4.09,CN,1697142970
239,al hazm,16.1641,44.7769,77.13,23,0,3.24,YE,1697142970
240,okha,53.5739,142.9478,46.96,83,100,10.76,RU,1697142970
241,san juan,-31.5375,-68.5364,71.06,17,0,5.91,AR,1697142798
242,omdurman,15.6445,32.4777,95.95,17,34,14.94,SD,1697142971
243,broome,42.2506,-75.833,64.78,66,75,5.99,US,1697142965
244,az zawiyah,32.0963,35.0398,72.79,64,20,3.44,PS,1697142971
245,khandyga,62.6667,135.6,25.88,98,100,2.44,RU,1697142971
246,twon-brass,4.3151,6.2418,79.99,84,91,9.19,NG,1697142971
247,port shepstone,-30.7414,30.455,64.15,81,100,14.83,ZA,1697142972
248,maizuru,35.45,135.3333,57.97,77,64,1.81,JP,1697142972
249,kaduna,10.5222,7.4383,75.63,64,96,7.29,NG,1697142911
250,ceerigaabo,10.6162,47.368,66.24,71,56,3.13,SO,1697142972
251,miquelon,47.0975,-56.3814,55.4,73,73,9.84,PM,1697142973
252,kalmunai,7.4167,81.8167,75.6,94,100,3.42,LK,1697142973
253,usogorsk,63.4106,48.6872,36.66,96,100,11.03,RU,1697142973
254,badger,64.8,-147.5333,29.71,82,100,3.44,US,1697142973
255,viedma,-40.8135,-62.9967,60.44,33,44,13.56,AR,1697142683
256,plottier,-38.9667,-68.2333,71.51,24,0,2.3,AR,1697142974
257,keflavik,64.0049,-22.5624,39.63,75,75,25.32,IS,1697142974
258,fort stockton,30.894,-102.8793,92.16,22,0,8.05,US,1697142974
259,vadso,70.0744,29.7487,40.08,87,75,17.27,NO,1697142974
260,dwarka,22.2394,68.9678,80.35,75,2,7.23,IN,1697142975
261,quellon,-43.1167,-73.6167,48.83,65,50,9.75,CL,1697142975
262,fortuna,40.5982,-124.1573,68.94,67,0,1.99,US,1697142975
263,nueva gerona,21.8833,-82.8,89.08,56,100,15.17,CU,1697142975
264,bayanhongor,46.7167,100.1167,31.73,64,0,1.1,MN,1697142976
265,cockburn town,21.4612,-71.1419,84.33,77,94,13.35,TC,1697142931
266,hadibu,12.65,54.0333,80.85,81,48,4.72,YE,1697142976
267,palmer,42.1584,-72.3287,69.35,43,75,6.91,US,1697142732
268,kyzyl,51.7,94.45,49.01,57,100,4.0,RU,1697142977
269,aver-o-mar,41.4078,-8.7812,76.32,46,0,8.05,PT,1697142977
270,miramichi,47.0043,-65.4654,54.77,76,38,4.94,CA,1697142977
271,guerrero negro,27.9769,-114.0611,71.67,56,1,15.39,MX,1697142977
272,kisangani,0.5167,25.2,73.92,80,23,1.59,CD,1697142978
273,cabo san lucas,22.8909,-109.9124,92.61,61,0,19.57,MX,1697142933
274,tindouf,27.6711,-8.1474,82.85,18,0,8.05,DZ,1697142978
275,mutuali,-14.8706,37.0044,78.98,26,100,0.72,MZ,1697142978
276,hirara,24.8,125.2833,78.66,78,100,16.11,JP,1697142978
277,maumere,-8.6199,122.2111,77.79,70,31,2.33,ID,1697142978
278,dosso,13.049,3.1937,90.03,26,7,5.23,NE,1697142979
279,vilyuysk,63.7553,121.6247,28.18,82,86,11.01,RU,1697142697
280,ketchikan,55.3422,-131.6461,57.18,76,100,14.97,US,1697142979
281,weingarten,47.8,9.6333,63.55,88,40,0.0,DE,1697142842
282,east ballina,-28.8667,153.5833,67.5,70,3,5.3,AU,1697142980
283,chashniki,54.8569,29.1607,48.97,76,9,15.52,BY,1697142980
284,calarasi,47.2544,28.3081,57.31,52,33,6.91,MD,1697142980
285,niafunke,15.9322,-3.9906,93.78,15,84,4.92,ML,1697142980
286,qaqortoq,60.7167,-46.0333,37.47,81,99,9.24,GL,1697142980
287,kristinehamn,59.3098,14.1081,45.16,66,12,8.1,SE,1697142981
288,telimele,10.9167,-13.3333,71.46,91,98,1.68,GN,1697142981
289,rawatsar,29.2833,74.3833,82.49,23,0,8.61,IN,1697142981
290,inyonga,-6.7167,32.0667,74.48,48,92,4.38,TZ,1697142981
291,pala,9.3642,14.9046,76.78,75,49,3.51,TD,1697142981
292,mglin,53.0591,32.8475,54.9,89,100,11.81,RU,1697142982
293,la foa,-21.7108,165.8276,69.76,68,3,2.42,NC,1697142982
294,lihue,21.9789,-159.3672,82.74,69,40,11.5,US,1697142684
295,talnakh,69.4865,88.3972,29.21,98,100,3.47,RU,1697142982
296,gualaceo,-2.9,-78.7833,76.66,63,80,7.81,EC,1697142982
297,sretensk,52.2453,117.7093,38.75,58,78,4.0,RU,1697142983
298,chengde,40.9725,117.9361,49.21,93,47,2.53,CN,1697142983
299,cimislia,46.52,28.7842,57.34,77,20,13.13,MD,1697142983
300,roma,43.2128,-75.4557,60.96,62,40,10.36,US,1697142984
301,el golaa,33.4849,9.0068,74.37,46,0,10.38,TN,1697142984
302,mongo,12.1844,18.693,84.0,48,100,2.89,TD,1697142984
303,ilhabela,-23.7781,-45.3581,72.82,96,97,10.49,BR,1697142984
304,berdigestyakh,62.0989,126.6992,34.29,97,100,5.01,RU,1697142984
305,morehead city,34.7229,-76.726,65.98,91,40,11.01,US,1697142985
306,keta,5.9179,0.9879,82.62,84,92,9.46,GH,1697142985
307,kirzhach,56.15,38.8667,51.17,81,55,12.8,RU,1697142985
308,chopinzinho,-25.8558,-52.5233,59.54,91,100,8.57,BR,1697142985
309,kittila,67.6647,24.8936,35.74,80,40,18.41,FI,1697142985
310,yuzhno-kurilsk,44.0306,145.8556,55.38,70,0,5.5,RU,1697142986
311,port alberni,49.2413,-124.8028,58.12,55,7,3.94,CA,1697142886
312,aginskoye,51.1,114.53,41.81,70,15,5.75,RU,1697142986
